trial,val_f1,ngram_range,max_features,sublinear_tf,min_df,max_df,C,class_weight,threshold,vocab_actual
37,0.963748286540106,3_6,20000,True,2,0.9621952369155077,4.960633898158628,none,0.47999999999999987,20000
13,0.9637463746374637,2_4,10000,True,5,0.9330359621808693,0.6352864548054101,none,0.5199999999999998,10000
8,0.9637463746374637,2_6,50000,False,4,0.8856456315988599,1.4302195214912299,balanced,0.5399999999999998,39921
4,0.963745907252811,2_5,25000,False,2,0.9594409267507096,0.9420738460772539,none,0.5199999999999998,25000
28,0.9637431451883871,2_4,50000,True,5,0.9730332998231004,0.6928249978032339,none,0.5399999999999998,16074
66,0.9628098523810924,3_5,15000,True,5,0.9267408645608358,3.062141302581323,balanced,0.47999999999999987,15000
20,0.9624947111682546,3_6,15000,True,3,0.8985449700582115,2.8135567470245175,none,0.5199999999999998,15000
14,0.9618731979128701,3_5,10000,True,4,0.924534499461836,2.105565624317781,none,0.45999999999999985,10000
59,0.9612470329759621,2_5,35000,True,4,0.9552360999746462,0.7065089139837811,none,0.5199999999999998,30545
69,0.9599949368591962,2_5,25000,True,5,0.865709241592311,0.5065266423475686,none,0.5399999999999998,25000
40,0.9593747460921631,3_5,25000,True,4,0.8723774588244464,2.631389524985464,none,0.45999999999999985,25000
77,0.9590586577509862,3_6,50000,True,3,0.8723918502695625,4.422510465613112,balanced,0.5199999999999998,50000
57,0.9587497421858886,3_6,25000,True,4,0.8618255138178178,2.250261846800546,none,0.45999999999999985,25000
30,0.9584330794554226,2_4,20000,True,5,0.9240758635262413,0.36595474721212395,none,0.5199999999999998,16074
16,0.9574933583372403,2_5,15000,True,3,0.8640599383812353,0.34779125665243926,none,0.5399999999999998,15000
98,0.9518701870187019,2_4,10000,False,5,0.904654597863245,0.17362476900181179,balanced,0.5199999999999998,10000
19,0.9506243056542982,3_5,25000,True,2,0.863112476318542,1.0267226228345063,none,0.47999999999999987,25000
7,0.9459359741695835,2_5,25000,True,5,0.9943670942413166,0.15941698675500932,none,0.47999999999999987,25000
0,0.9437482201585284,2_5,20000,True,2,0.877273745081065,0.11635338541918898,balanced,0.47999999999999987,20000
86,0.9399999765624909,2_4,25000,True,5,0.8665815786038987,0.0634234897446912,none,0.4999999999999999,16074
9,0.9378098216925163,3_5,25000,False,1,0.9536406607153699,0.2967841456007342,none,0.45999999999999985,25000
17,0.9374999023435974,2_4,15000,True,2,0.8783856480204795,0.0511034527353031,none,0.4999999999999999,15000
45,0.9365540178174211,3_6,10000,True,4,0.8504118485657612,0.21416755178083793,balanced,0.45999999999999985,10000
65,0.9362496015600097,2_6,20000,True,3,0.8606327935130461,0.05099191257404723,none,0.4999999999999999,20000
5,0.9324695057611952,3_6,15000,True,3,0.9861349710889139,0.1575993647596944,balanced,0.4399999999999999,15000
49,0.9293351406027462,3_5,25000,False,5,0.8673724343276327,0.1085636990007656,none,0.4399999999999999,24792
6,0.9249753532312763,3_6,50000,False,5,0.8977005212457796,0.08299918987224608,balanced,0.45999999999999985,32136
